dataset,rl_accuracy,rl_avg_time_sec,trials,vf2_accuracy,vf2_avg_time_sec
hard_graph_n_50,0.8,0.04436358610788981,30,0.9333333333333333,0.10197771390279134
hard_graph_n_100,0.8333333333333334,0.19682961304982502,30,0.9666666666666667,0.8588226636250814
